SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
37,83,0.17148760330578514,1. ANDREA ALEMANNI (8) | 2. GIULIA TEMPESTA (4) | 3. NELLA CONVERTI (4) | 4. RICCARDO CORBUCCI (4) | 5. STEFANO MARONGIU (3) | 6. SVETLANA CELLI (3) | 7. LORENZO MARINONE (2) | 8. MARCO ROSSI (2) | 9. UBALDO RIGHETTI (2) | 10. VALERIA BAGLIO (2),comune_2021
38,66,0.17232375979112272,1. ANDREA ALEMANNI (6) | 2. CARLA CONSUELO FERMARIELLO (4) | 3. DARIO MARCUCCI (4) | 4. MAURIZIO VELOCCIA (4) | 5. MONICA MORICONI (4) | 6. FABRIZIO RUFO (3) | 7. SABRINA ALFONSI (3) | 8. SVETLANA CELLI (3) | 9. ANTONELLA MELITO (2) | 10. GIULIA TEMPESTA (2),comune_2021
39,70,0.16091954022988506,1. CARLA CONSUELO FERMARIELLO (12) | 2. ANDREA ALEMANNI (3) | 3. FABRIZIO RUFO (3) | 4. MAURIZIO VELOCCIA (3) | 5. YURI TROMBETTI (3) | 6. ALESSANDRO LEPIDINI (2) | 7. CRISTINA MICHETELLI (2) | 8. DARIO MARCUCCI (2) | 9. NELLA CONVERTI (2) | 10. ANTONELLA MELITO (1),comune_2021
40,87,0.20470588235294118,1. ANDREA ALEMANNI (8) | 2. YURI TROMBETTI (5) | 3. CRISTINA MICHETELLI (4) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. GIULIA TEMPESTA (3) | 6. RICCARDO CORBUCCI (3) | 7. SVETLANA CELLI (3) | 8. GIOVANNI CRISANTI (2) | 9. MAURIZIO VELOCCIA (2) | 10. SABRINA ALFONSI (2),comune_2021
41,87,0.174,1. ANDREA ALEMANNI (10) | 2. CARLA CONSUELO FERMARIELLO (10) | 3. SVETLANA CELLI (9) | 4. FABRIZIO RUFO (6) | 5. MAURIZIO VELOCCIA (6) | 6. SABRINA ALFONSI (5) | 7. CLAUDIO PARAVATI (2) | 8. OLIMPIA TROILI (2) | 9. ROCCO STELITANO (2) | 10. YURI TROMBETTI (2),comune_2021
42,61,0.16486486486486487,1. ANDREA ALEMANNI (9) | 2. SVETLANA CELLI (9) | 3. CARLA CONSUELO FERMARIELLO (1) | 4. MONICA MORICONI (1) | 5. YURI TROMBETTI (1) | 6. ALESSANDRO LEPIDINI (0) | 7. ANTONELLA MELITO (0) | 8. ANTONIO CIANCIO (0) | 9. ANTONIO STAMPETE (0) | 10. CLAUDIA PAPPATA' (0),comune_2021
43,45,0.15151515151515152,1. ANDREA ALEMANNI (4) | 2. LORENZO MARINONE (2) | 3. SVETLANA CELLI (2) | 4. ANTONELLA MELITO (1) | 5. ILARIA PICCOLO (1) | 6. PIETRO VITTORIO BARBIERI (1) | 7. UBALDO RIGHETTI (1) | 8. YURI TROMBETTI (1) | 9. ALESSANDRO LEPIDINI (0) | 10. ANTONIO CIANCIO (0),comune_2021
44,71,0.22118380062305296,1. YURI TROMBETTI (20) | 2. CARLA CONSUELO FERMARIELLO (14) | 3. ANDREA ALEMANNI (5) | 4. SVETLANA CELLI (3) | 5. CRISTINA MICHETELLI (2) | 6. FABRIZIO RUFO (2) | 7. MARIANO ANGELUCCI (2) | 8. ANTONELLA MELITO (1) | 9. DANIELE PARRUCCI (1) | 10. ELEONORA GRIMALDI (1),comune_2021
45,79,0.2206703910614525,1. ANDREA ALEMANNI (11) | 2. CARLA CONSUELO FERMARIELLO (10) | 3. YURI TROMBETTI (6) | 4. FABRIZIO RUFO (4) | 5. MONICA MORICONI (4) | 6. CLAUDIA PAPPATA' (2) | 7. DARIO MARCUCCI (2) | 8. ERICA BATTAGLIA (2) | 9. MAURIZIO VELOCCIA (2) | 10. ANTONELLA MELITO (1),comune_2021
46,59,0.14496314496314497,1. ANDREA ALEMANNI (11) | 2. CARLA CONSUELO FERMARIELLO (5) | 3. SABRINA ALFONSI (4) | 4. STEFANO MARONGIU (3) | 5. YIFAN LIN (3) | 6. YURI TROMBETTI (3) | 7. DARIO MARCUCCI (2) | 8. FLAVIA RESTIVO (2) | 9. JULIAN COLABELLO (2) | 10. MONICA MORICONI (2),comune_2021
