SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
103,81,0.18,1. FILIPPO MARIA LAGUZZI (5) | 2. NASTASSJA HABDANK (5) | 3. FEDERICA RAMPINI (4) | 4. PAOLA CAVALIERI (4) | 5. MARIA TERESA ELLUL (3) | 6. MATTEO PIETROSANTE (3) | 7. LORENZO SPIZZICHINO (2) | 8. ROBERTO CASAMENTO (2) | 9. CESARE ALFIDI (1) | 10. FRANCESCO MANCINO (1),municipio3_2021
104,94,0.20085470085470086,1. PAOLA CAVALIERI (6) | 2. LORENZO SPIZZICHINO (4) | 3. MATTEO PIETROSANTE (4) | 4. NASTASSJA HABDANK (3) | 5. ORNELLA LOVELLO (3) | 6. FRANCESCO MANCINO (2) | 7. LUIGI MAIO (2) | 8. ANTONIO COMITO (1) | 9. CESARE ALFIDI (1) | 10. FEDERICA RAMPINI (1),municipio3_2021
105,67,0.162227602905569,1. PAOLA CAVALIERI (5) | 2. CESARE ALFIDI (4) | 3. LORENZO SPIZZICHINO (4) | 4. ANTONIO COMITO (3) | 5. MARIA ANTONIETTA DEL MORO (3) | 6. NASTASSJA HABDANK (3) | 7. GABRIELE CARRADORI (2) | 8. MATTEO PIETROSANTE (2) | 9. ROBERTO CASAMENTO (2) | 10. FRANCESCO MANCINO (1),municipio3_2021
106,72,0.17518248175182483,1. LORENZO SPIZZICHINO (10) | 2. ROBERTO CASAMENTO (9) | 3. GABRIELE MICHELI (3) | 4. PAOLA CAVALIERI (2) | 5. FEDERICA RAMPINI (1) | 6. FILIPPO MARIA LAGUZZI (1) | 7. LUIGI MAIO (1) | 8. MARIA ANTONIETTA DEL MORO (1) | 9. SIMONA RUSSO (1) | 10. ANTONIO COMITO (0),municipio3_2021
107,87,0.174,1. LORENZO SPIZZICHINO (6) | 2. FEDERICA RAMPINI (5) | 3. NASTASSJA HABDANK (4) | 4. ROBERTO CASAMENTO (4) | 5. FILIPPO MARIA LAGUZZI (3) | 6. MATTEO PIETROSANTE (3) | 7. ANTONIO COMITO (2) | 8. MARIA TERESA ELLUL (2) | 9. NICOLETTA FUNGHI (2) | 10. PAOLA CAVALIERI (2),municipio3_2021
108,107,0.22061855670103092,1. ANTONIO COMITO (47) | 2. MATTEO PIETROSANTE (3) | 3. FEDERICA RAMPINI (1) | 4. FILIPPO MARIA LAGUZZI (1) | 5. LORENZO SPIZZICHINO (1) | 6. MARIA TERESA ELLUL (1) | 7. NICOLETTA FUNGHI (1) | 8. ROBERTO CASAMENTO (1) | 9. SIMONA RUSSO (1) | 10. CESARE ALFIDI (0),municipio3_2021
109,47,0.14029850746268657,1. NASTASSJA HABDANK (5) | 2. ITALO DELLA BELLA (4) | 3. NICOLETTA FUNGHI (3) | 4. ROBERTO CASAMENTO (3) | 5. GABRIELE CARRADORI (2) | 6. LORENZO SPIZZICHINO (2) | 7. MATTEO PIETROSANTE (2) | 8. PAOLA CAVALIERI (2) | 9. SIMONETTA ANACLERIO (2) | 10. FEDERICA RAMPINI (1),municipio3_2021
110,49,0.15654952076677317,1. GABRIELE CARRADORI (7) | 2. FILIPPO MARIA LAGUZZI (2) | 3. MONICA MAGGI (2) | 4. NICOLETTA FUNGHI (2) | 5. ORNELLA LOVELLO (2) | 6. FRANCESCO MANCINO (1) | 7. MARIA ANTONIETTA DEL MORO (1) | 8. MIRKO MANFRE' (1) | 9. NASTASSJA HABDANK (1) | 10. PAOLA CAVALIERI (1),municipio3_2021
111,65,0.2006172839506173,1. SIMONA RUSSO (6) | 2. FILIPPO MARIA LAGUZZI (5) | 3. ANTONIO COMITO (4) | 4. NICOLETTA FUNGHI (4) | 5. GABRIELE CARRADORI (3) | 6. LORENZO SPIZZICHINO (3) | 7. MATTEO PIETROSANTE (3) | 8. MIRKO MANFRE' (3) | 9. PAOLA CAVALIERI (3) | 10. MARIA ANTONIETTA DEL MORO (2),municipio3_2021
112,58,0.17791411042944785,1. FEDERICA RAMPINI (4) | 2. FILIPPO MARIA LAGUZZI (4) | 3. MONICA MAGGI (3) | 4. NASTASSJA HABDANK (3) | 5. PAOLA CAVALIERI (3) | 6. LUIGI MAIO (2) | 7. MATTEO PIETROSANTE (2) | 8. ANTONIO COMITO (1) | 9. LORENZO SPIZZICHINO (1) | 10. ORNELLA LOVELLO (1),municipio3_2021
